what is the role of bacterial phagocytosis by alveolar macrophages or polymorphonuclear leukocytes in lung disease in cf patients	what is the role of bacterial phagocytosis by alveolar macrophages or polymorphonuclear leukocytes in lung disease in cf patients	abnormal fatty acid composition of plasma lipids in cystic fibrosis a primary or a secondary defect the percentage fatty acid composition of the various plasma lipid fractions from cystic fibrosis patients with and without pancreatic insufficiency obligate heterozygotes and normal subjects was determined only the cystic fibrosis patients with pancreatic insufficiency had significantly abnormal fatty acid composition this general observation did not correlate with vitamin e deficiency age sex or severity of the disease thus the altered fatty acid composition of the different plasma lipid fractions appears to be a secondary consequence of the pancreatic insufficiency commonly associated with cystic fibrosis and not a direct metabolic defect related to the cystic fibrosis gene itself
what is the relationship between haemophilus influenzae and pseudomonas aeruginosa in cf patients	what is the relationship between haemophilus influenzae and pseudomonas aeruginosa in cf patients	colloid and crystal formation in parotid saliva of cystic fibrosis patients and non cystic fibrosis subjects ii electron microscopy and electrophoresis centrifuged pellets of turbid parotid saliva from cystic fibrosis cf patients and non cf subjects obtained from saliva kept at degrees for min had the electron microscope appearance of amorphous round particles and were thought to be colloidal aggregates of organic material drops of turbid saliva from samples incubated for hr at degrees or degrees additionally contained discrete electron dense crystals having well defined angular morphology usually cubic retangular or approximately hexagonal the inhibitors urea guanidine hydrochloride and edta resulted in no crystals being observed selected area electron diffraction from individual crystals showed predominantly hexagonal rectangular patterns could be indexed as coming from hydroxyapitite a transition from the hexagonal to the rectangular pattern and back to the hexagonal pattern could be obtained from individual crystals tilted in the electron microscope the square diffraction pattern may be from octa calcium or brushite polyacrylamide gel disc electrophoresis of the parotid saliva indicated that the sparingly soluble proteins in the degree and degree pellets comprised proline rich proteins and a calcium precipitable trichloroacetic acid tca precipitable phosphoprotein which fluoresced with amido schwarz and coomassie brilliant blue g
do cf patients ever develop infection in organs other than the lung if so in what organs	do cf patients ever develop infection in organs other than the lung if so in what organs	differential concanavalin a binding of cystic fibrosis and normal liver alpha l fucosidase a novel technique has been employed to demonstrate that alpha l fucosidase purified from cystic fibrosis and control livers exhibits differential binding to the lectin concanavalin a the concentration of alpha ch mannoside necessary to prevent binding of alpha l fucosidase to concanavalin a is considerably lower for the cystic fibrosis enzyme vs mm comparable results were found when binding studies were done on crude supernatant alpha l fucosidase from cystic fibrosis and control livers plus or minus mm and plus or minus respectively without any overlap of values between the cystic fibrosis and control livers these results suggest that comparative lectin binding studies on cystic fibrosis and normal glycoproteins from readily available tissues might result in an assay for detecting the cystic fibrosis genotype
what is the role of bacteria other than pseudomonas aeruginosa staphylococcus aureus or haemophilus influenzae in the pathogenesis of lung disease in cf patients of lung disease in cf patients	what is the role of bacteria other than pseudomonas aeruginosa staphylococcus aureus or haemophilus influenzae in the pathogenesis of lung disease in cf patients of lung disease in cf patients	the adrenal cortex in cystic fibrosis of the pancreas the morphologies of the adrenal cortical zones of children with cystic fibrosis and control patients are presented a technic for objective measurement of these zones is described hyperplasia of the zona glomerulosa in the children with cystic fibrosis is significant and may be related to chronic loss of salt in the sweat or demands placed on renal salt conserving mechanisms
what is the role of fungi in the pathogenesis of lung disease in cf patients	what is the role of fungi in the pathogenesis of lung disease in cf patients	allergy and bronchial hyperreactivity in cystic fibrosis editorial a little known feature of cystic fibrosis is the frequent occurrence of positive skin prick tests to environmental allergies in the normal population only about half those with positive prick tests actually have clinical allergic disease so are the positive skin tests of cystic fibrosis clinically important in particular do they mean a high prevalence of asthma overt or hidden amongst these patients a general clinical impression is that asthma is no more frequent amongst cystic fibrosis than in the normal population the often positive skin tests although of considerable immunological interest do not necessarily imply additional clinical disease
what is the role of viral infection in the lung disease of cf patients	what is the role of viral infection in the lung disease of cf patients	depression of erythropoiesis physical growth and hair growth by chloramphenicol in a three year old child with cystic fibrosis in patients with cystic fibrosis cf of the pancreas optic neuritis and peripheral neuritis have been reported to follow treatment with chloramphenicol this toxic sequel appears to be related to the dosage and duration of therapy in patients with other diseases who are treated with chloramphenicol the risk of devastating bone marrow toxicity has been estimated to range from to we have found only two reports of patients with cf who had hematologic complications after treatment with chloramphenicol we here report a year old girl who had selective depression of the erythroid bone marrow anorexia weight loss temporary hair loss and retardation of growth after prolonged administration of chloramphenicol
what is the epidemiology of pseudomonas aeruginosa in cf patients	what is the epidemiology of pseudomonas aeruginosa in cf patients	the seasonal variation of births of offspring from couples heterozygous for cystic fibrosis to test whether the month of birth of patients with cystic fibrosis cf is seasonally distributed as reported in a dutch survey published australian data were examined and no difference in the monthly variation was found between births of cf patients and their unaffected sibs when the two groups were combined and analysed by periodic regression using successively higher fourier terms a significant fit to the observed frequencies was obtained with a bimodal curve possession of a single cf gene seems therefore sufficient for expression of the cyclic variation in substantial agreement with the dutch series maximum frequencies were found to occur in march or april and in september it is suggested that one or both parents may be subject to variable fertility mediated by a temperature dependent mechanism the relevance of a periodic fertility pattern in preserving the cf gene in the population by selective heterozygote advantage is discussed
what factors are responsible for the appearance of mucoid strains of pseudomonas aeruginosa in cf patients	what factors are responsible for the appearance of mucoid strains of pseudomonas aeruginosa in cf patients	letter skin wrinkling and nerve function we were interested in professor elliott s description of early skin wrinkling in children with cystic fibrosis although this phenomenon may well be related to osmotic differences between skin and water it has been observed that skin wrinkling as seen on the finger pulp is fully dependent on an intact peripheral nerve supply this is a useful sign in peripheral nerve lesions and helpful in following recovery when the wrinkling returns furthermore it was our impression that in normal individuals wrinkling was more apparent on the left hand than on the right handed individuals however in a preliminary study using fingerprint densities measured by photometry no significant differences were found between the sides
what are the unusual manifestations of cf other than lung disease or exocrine pancreatic insufficiency	what are the unusual manifestations of cf other than lung disease or exocrine pancreatic insufficiency	rickets in adult cystic fibrosis with myopathy pancreatic insufficiency and proximal renal tubular dysfunction rickets is reported in a year old white man with cystic fibrosis in whom pancreatic and hepatic involvement was advanced there was evidence of secondary hyperparathyroidism with proximal renal tubular acidosis aminoaciduria phosphaturia and hypophosphatemia treatment with oral pancreatic and parenteral vitamin d supplements led to full recovery of the rachitic syndrome and the proximal renal tubular dysfunction
what is the prognosis for survival of patients with cf	what is the prognosis for survival of patients with cf	serum precipitins against respiratory tract pathogens in normal children and cases of cystic fibrosis treated with cloxacillin well children show a steady increase of staphylococcal precipitins throughout life lower incidences are found for precipitins against h influenzae pneumococcus and haemolytic streptococcus precipitins against proteus pseudomonas and klibsiella are rare there are marked differences between the normal children and the cloxacillin treated children with cystic fibrosis in respect to pseudomonas and h influenzae which rise to over of cystic fibrosis children in the third quinquennium however the development of staphylococcal precipitins can be prevented by continuous antistaphylococcal therapy
do cf patients have normal intelligence	do cf patients have normal intelligence	cellular immunity to bacteria impairment of in vitro lymphocyte responses to pseudomonas aeruginosa in cystic fibrosis patients lymphocyte responses to the mitogens phytohemagglutinin and concanavalin a and to streptococcus pyogenes staphylococcus aureus haemophilus influenzae and pseudomonas aeruginosa were evaluated in patients with cystic fibrosis and in normal individuals lymphocyte proliferation in vitro was stimulated by gentamicin killed whole bacteria and the proliferative response was measured by h thymidine incorporation the in vitro lymphocyte responses to antibiotic killed bacterial reached maximum thymidine incorporation after days in culture and followed a unimodal dose response curve for each of the bacteria studied a significant specific incapacity to respond to p aeruginosa was detected in cystic fibrosis patients with advanced clinical disease
what animal models are available which are relevant to cf	what animal models are available which are relevant to cf	diseases of the respiratory system bronchiectasis and cystic fibrosis bronchiectasis is characterised by dilatation of the bronchi this dilation may be generalised or confined to a single segment or lobe of the lung and it may be tubular fusiform spindle shaped or saccular cystic the aetiology symptoms diagnosis treatment complications and prevention of bronchiectasis are considered cystic fibrosis affects many exocrine glands throughout the body presentation and diagnosis treatment complications and their treatment management of associated social problems and death due to cystic fibrosis are discussed
what abnormalities of skeletal muscle function or structure have been found in cf patients	what abnormalities of skeletal muscle function or structure have been found in cf patients	open thoracotomy and pleural abrasion in the treatment of spontaneous pneumothorax in cystic fibrosis the various treatments of spontaneous pneumothorax in cystic fibrosis are examined over a yr period open thoracotomy with pleural abrasion is compared to observation tube thoracostomy and tube thoracostomy with instillation of quinacrine open thoracotomy with pleural abrasion has been performed times in patients discussion centers around selection of patients preoperative preparation operative technique and postoperative care and follow up including analysis of pulmonary function studies in our experience open thoracotomy with pleural abrasion is a safe and effective method that should be utilized in the management of pneumothorax in patients with cystic fibrosis
is there an increased incidence of dental problems eg caries or periodontal disease in cf patients	is there an increased incidence of dental problems eg caries or periodontal disease in cf patients	letter questions regarding arginine hydrochloride inhalation with regard to the recent study of dietzsch et al on the use of arginine hydrochloride inhalation in cystic fibrosis patients i wish to point out that these investigators acted irresponsibly in exposing their patients for an appreciable period seven weeks to a preparation which is known to be irritating i would suggest that the deleterious effects seen by dietzsch et al are due to their inattention to experimental detail and lack of communication with other investigators dietzsch et al give the impression in their article that all arginine solution are detrimental to the lung we wish to point out that l arginine hydrochloride buffered with a sodium solution is irritative to the airway of cystic fibrosis patients however no comparison studies were done with l arginine buffered with free base the fate of these children with cystic fibrosis depends on the quality of the inhalation treatment this means if you replace a good mucolytic drug with a better one you step by step approach the ideal mucolytic solution we think it to be unethical to use other less effective drugs or solutions in a control group e g saline or distilled water we did not state that arginine solutions are irritative or that arginine treatment is dangerous the n acetylcysteine solution which was successfully used before the treatment of our patients was buffered with sodium hydroxide to a ph of the quantity of sodium which was administered during each inhalation amounts to only mval of sodium so that an injurious pharmacological effect can be excluded both drugs were well tolerated and had no deleterious effects
is oxygen transport by red blood cells abnormal in cf patients	is oxygen transport by red blood cells abnormal in cf patients	the relationship between chest radiographic scores and respiratory function tests in children with cystic fibrosis chest radiographic scores and respiratory function on sets of results from patients with cystic fibrosis were analyzed chest radiographic scores were assessed independently using the method of chrispin and norman respiratory function tests were found to correlate well with the chest radiographic score the best correlation being with the forced expiratory volume in sec to forced vital capacity ratio f e v f v c r n p less than
what are the effects of cf on the development and or function of the brain and central nervous system	what are the effects of cf on the development and or function of the brain and central nervous system	glucose intolerance in a three year old child with cystic fibrosis glucose intolerance preceding pulmonary disease in a child with cystic fibrosis is described after glucose intolerance was controlled with tolbutamide the pulmonary infection resolved early recognition and treatment of diabetes in children with cystic fibrosis is emphasized
are there abnormalities of taste in cf patients	are there abnormalities of taste in cf patients	cystic fibrosis in a black infant presentation with meconium ileus and volvulus this is a case report of meconium ileus complicated by intestinal volvulus and infarction in a black infant
what is the incidence of and treatment for hypertrophic osteoarthropathy in cf patients	what is the incidence of and treatment for hypertrophic osteoarthropathy in cf patients	immunological studies in cystic fibrosis evidence is presented to support the concept that much of the allergy in cystic fibrosis cf is ige mediated total ige levels were higher in allergic than in nonallergic cf patients levels were also higher in those patients who had had the greatest number of chest infections in the preceding months ige antibody levels to dermatophagoides pteronyssinus timothy grass pollen and aspergillus fumigatus were higher in those with positive results from skin tests to these allergens the serum igg igm and iga levels of allergic and nonallergic cf patients did not differ but the overall mean values for igg and igm were higher than those reported for healthy british children the highest levels tended to be present in patients with the greatest number of recent major chest infections and the difference was significant for igg patients had iga levels sd below the reported means for age matched controls and of these were nonallergic iga levels were also higher in patients who had recently experienced major chest infections of the patients were tissue types for hla a and b antigens but no significant clinical associations with single antigens were observed the antigen phenotype a b was more common in patients with multiple allergic symptoms than in those with a single allergy or merely a positive result from a skin test nonsignificant increases of w in patients with frequent infections and of a in patients presenting with meconium ileus were also noted the data presented do not permit a choice to be made between the alternative concepts of allergy as a primary abnormality in cf and allergy arising secondary to infection
